徐州18岁农家女孩宋爽，今年考入清华大学。除了自己一路闯关，年年拿奖，还帮妹妹、弟弟制定学习计划，姐弟仨齐头并进，妹妹也考上区里最好的中学。这个家里的收入，全靠父亲务农和打零工，但宋爽懂事得让人心疼，曾需要200元奥数竞赛的教材费，她羞于开口，愣是急哭了... 戳腾讯公益帮帮她们！#助学圆梦# 江苏新闻的秒拍视频	徐州农家女孩考上清华，她的懂事让人心酸…
盖被子，摇摇篮，汪星人简直要把萌娃宠上天～细致周到有耐心，脾气还好，汪星人不愧是一届带娃好手[笑而不语]偶买噶视频的秒拍视频 ​​​	带娃好手汪星人！把宝宝们宠上天[憧憬]
人们通常被社会赋予的"成功"所定义，“做什么工作”“赚多少钱”都用来评判一个人的全部价值，很多人出现身份焦虑。身份焦虑不仅影响幸福感，还会导致精神压力，甚至自杀。如果你也有身份焦虑，这个短片或许会有帮助。秒拍视频 ​​​	感到压力大的同学看过来！如何缓解身份焦虑？[并不简单]
网友@星蓝seiran 教大家自制的捕捉器教程，简单方便，里面的洗洁精换成肥皂水或洗衣粉水都可以（用于溶解蟑螂腹部油脂防止爬出），白糖稍微多放点。怕蟑螂的童鞋，可以换成不透明的瓶子。转需~ ​​​	这个厉害了！[good]
车辆众多的路口，哪些地方能掉头？没有调头指示灯和调头标志的路段，你还知道怎么调头吗？@汽车洋葱圈 戳视频了解↓↓转给新司机！汽车洋葱圈的秒拍视频 ​​​	2分钟，读懂车辆调头那些事[耶]
平板支撑（plank），时下最热“甩肉”秘笈。可以有效的锻炼腹横肌，被公认为训练腹肌最有效的方法之一，每天坚持做可以让平坦的小腹重见天日。每个坚持30秒，休息30秒。你若不坚持，不如别开始，你想要的只能自己给自己！ ​​​​	最热门的九种Plank变式 专减大肚腩
炎热的夏季，每天都要将换下的衣物清洗干净，为啥有些人的衣服穿着穿着就掉色？衣服也不柔软了呢？不要怪衣服的质量，晒衣也是有学问的哦。戳图↓↓告诉你晒衣服的正确方式，转发收藏！ ​​​​	实用！这才是晾衣服的正确方式
最近是不是热热热热热热热热热热热热热炸了？！如何在三伏天防暑降温，安然度夏？夏日消暑美食指南，动手自制消暑美食，清清凉凉地度过这个炎夏！[馋嘴] ​​​​	手把手教你自制夏日消暑美食[色]
小张在南京一整形诊所接受鼻部整形，主刀的韩国医生朴光哲，号称“世界鼻部整形泰斗”、“韩国美鼻教父”。没多久，小张的鼻子歪了，假体快滑出鼻尖。记者得知，朴光哲未注册就在中国进行整容手术，属非法行医。整容有风险，提醒爱美的TA！江苏新闻的秒拍视频	花3万找“韩国鼻王”整鼻子，结果鼻子歪了假体快滑出鼻尖
近日，因天气太热，安徽一老太在买肉路上突然眼前一黑，摔倒在地。她怕别人不扶她，连忙说"快扶我起来，我不讹你，地上太热我要熟了！"这一喊周围人都笑了，老人随后被扶到路边休息。(颍州晚报)[话筒]最近老人尽量避免出门! ​​​​	老太摔倒：快扶我起来，我不讹你，地上太热我要熟了！[允悲]
